store_group,store_id,promo_period_int,period_num,period_year,weekly_velocity_amount,weekly_velocity_quantity
program_test,5,60,8,2019,54.47,3.25
baseline_control,27,60,8,2019,58.47,3.25
baseline_control,30,67,2,2020,58.47,3.25
film_control,41,71,6,2020,51.97,3.25
baseline_control,30,71,6,2020,58.47,3.25
film_control,33,73,8,2020,53.97,3.25
baseline_control,27,59,7,2019,62.96,3.5
film_control,9,60,8,2019,57.97,3.5
baseline_control,6,61,9,2019,62.96,3.5
baseline_control,27,62,10,2019,61.71,3.5
program_test,11,64,12,2019,52.47,3.5
baseline_control,13,67,2,2020,58.71,3.5
film_control,38,68,3,2020,58.71,3.5
baseline_control,39,69,4,2020,66.47,3.5
baseline_control,15,72,7,2020,62.96,3.5
baseline_control,24,52,13,2018,67.46,3.75
baseline_control,3,52,13,2018,70.71,3.75
baseline_control,7,59,7,2019,67.46,3.75
baseline_control,27,61,9,2019,67.46,3.75
baseline_control,12,62,10,2019,66.71,3.75
program_test,36,67,2,2020,62.46,3.75
baseline_control,39,72,7,2020,70.46,3.75
baseline_control,12,76,11,2020,67.46,3.75
film_control,41,54,2,2019,67.96,4
baseline_control,19,55,3,2019,66.71,4
baseline_control,35,57,5,2019,71.96,4
baseline_control,19,57,5,2019,71.96,4
film_control,41,63,11,2019,59.96,4
baseline_control,26,64,12,2019,71.96,4
baseline_control,3,66,1,2020,71.96,4
baseline_control,7,71,6,2020,71.96,4
baseline_control,2,72,7,2020,73.46,4
program_test,34,73,8,2020,66.21,4
film_control,41,74,9,2020,63.96,4
baseline_control,39,74,9,2020,71.96,4
baseline_control,35,76,11,2020,71.96,4
program_test,11,53,1,2019,68.21,4.25
baseline_control,1,53,1,2019,71.46,4.25
baseline_control,19,58,6,2019,76.46,4.25
baseline_control,31,58,6,2019,78.21,4.25
baseline_control,25,60,8,2019,76.46,4.25
film_control,33,63,11,2019,63.71,4.25
film_control,9,64,12,2019,63.71,4.25
baseline_control,3,64,12,2019,76.46,4.25
baseline_control,19,66,1,2020,76.46,4.25
baseline_control,10,67,2,2020,76.46,4.25
baseline_control,32,59,7,2019,79.95,4.5
baseline_control,2,59,7,2019,78.7,4.5
baseline_control,7,61,9,2019,80.95,4.5
baseline_control,26,66,1,2020,80.95,4.5
baseline_control,27,74,9,2020,80.95,4.5
baseline_control,4,51,12,2018,90.2,4.75
baseline_control,40,51,12,2018,80.7,4.75
program_test,36,57,5,2019,80.7,4.75
baseline_control,10,57,5,2019,85.45,4.75
program_test,11,63,11,2019,71.2,4.75
baseline_control,28,74,9,2020,85.45,4.75
